,Batch01_S018,Batch01_S015,Batch01_S055,Batch01_S002,Batch01_S012,Batch01_S044,Batch01_S040,Batch01_S023,Batch01_S010,Batch01_S048,Batch01_S046,Batch01_S030,Batch01_S057,Batch01_S022,Batch01_S019,Batch01_S058,Batch01_S045,Batch01_S013,Batch01_S004,Batch01_S060,Batch02_S049,Batch02_S011,Batch02_S031,Batch02_S021,Batch02_S016,Batch02_S051,Batch02_S036,Batch02_S053,Batch02_S032,Batch02_S006,Batch02_S029,Batch02_S034,Batch02_S047,Batch02_S033,Batch02_S007,Batch02_S017,Batch02_S025,Batch02_S041,Batch02_S035,Batch02_S038,Batch03_S050,Batch03_S009,Batch03_S014,Batch03_S056,Batch03_S037,Batch03_S039,Batch03_S042,Batch03_S026,Batch03_S005,Batch03_S027,Batch03_S028,Batch03_S052,Batch03_S024,Batch03_S003,Batch03_S043,Batch03_S008,Batch03_S054,Batch03_S059,Batch03_S001,Batch03_S020,Batch01_QC_01,Batch01_QC_02,Batch01_QC_02.1,Batch01_QC_03,Batch02_QC_01,Batch02_QC_02,Batch02_QC_02.1,Batch02_QC_03,Batch03_QC_01,Batch03_QC_02,Batch03_QC_02.1,Batch03_QC_03
Ethanolamine,0.000296607217459242,0.00163787930440833,0.000324806616454489,0.00367274955844678,0.000892367539709425,0.000347481710067564,0.00145685452942003,0.0015363323621027,0.00117419444738166,0.000973536307563379,0.00133829858418926,0.00029646933744797,0.000882424650354499,0.000624155457710362,0.000288481939031157,0.000576361496800351,0.00142424227922459,0.00142171306672922,0.000747016197858106,0.000311709971828979,0.0014542621057921,0.000166434709914935,0.000201258883932651,0.000759657085949263,0.000890344417655726,0.000921056846846923,0.000254819207932351,0.00100186520703942,0.000195148568882531,0.000206501047654619,0.000343625230749696,0.000805591215441706,0.000531127853200798,0.000360403498650424,0.00060135195100037,0.000510451081800744,0.000956706361081434,0.000573521124509559,0.000323284076855821,0.000447979652766042,0.00182238070730267,0.00044831962416409,0.00127681674309183,0.000968637337467566,0.00147397131974701,0.00091135778371664,0.0011319377710191,0.00228771389095168,0.000696662577534061,0.000491490186616629,0.00213384398032073,0.000569802788553514,0.00208979611341283,0.000635788789051476,0.000501408851082632,0.000314571658866637,0.000859346041424143,0.00206541027647363,0.000426690279208118,0.00109233699895599,0.00070961487554336,0.000764632560285393,0.0007554013591258,0.000719527805408475,0.000740000355736097,0.000734769708433515,0.000747571606727102,0.00072714715076192,0.00069189986244175,0.000783403717299556,0.00074234428533303,0.00073235454949675
Trimethylamine N-oxide,0.000396464984881378,0.000423095205465938,0.000249547957842757,0.00238163483013821,0.000312665342938962,0.000600709847415017,0.000724332289068046,0.00425134860085925,0.00561373247908016,0.00348471142398862,0.00354037403591475,0.000454462004476239,0.00294972349757093,0.00229213913373098,0.00101806914678828,0.00426793856712356,0.00745823977392712,0.00422510462693479,0.00216220875308483,0.00177361875439475,0.00082815421041227,0.000311272842337837,0.000528590326434368,0.00247989414211171,0.00012243619119182,0.000470728079223415,0.00227660358431423,0.00527436603201807,0.000211544020220974,0.000306384051777888,0.00161742291753757,0.00200503292631348,0.0007853612620042,0.00174968667272983,0.00101928755485697,0.00161115139746486,0.00058215530993285,0.00432987729106327,0.00316987046744785,0.00127338388292026,0.0019552351550035,0.000425460307345313,0.00395101827233532,0.0122677208010854,0.00112031679303342,0.0116953234066778,0.00426798919502436,0.00564196817465715,0.00101766699539133,0.00021702591954947,0.0028811446435573,0.000871936047293382,0.00129138887591332,0.00727212657040023,0.000631620866939297,0.000293064203162498,0.0227280181909087,0.00335225161550509,0.00416646428805536,0.00319042355527442,0.00122742378705741,0.0012270873162308,0.0012501805055436,0.00120460661890667,0.00122953579458872,0.0012250245703484,0.00120463444573751,0.00124985370872039,0.00121012578874417,0.00124460628525221,0.0011902180585319,0.00126437063772925
Putrescine,0.000553265116207706,0.00279758899771083,0.000189747711715527,0.000785716966042401,0.00221882454335252,0.000411654205041439,0.000634388274561514,0.000862949583201892,0.000868241191897584,0.00133289832375782,0.00049742693100477,0.00109785317254595,0.000711389122793259,0.00129964697926411,0.000552727865188005,0.000710879499694177,0.000985509427991901,0.000790561814917287,0.00105982801310354,0.000748318190324107,0.00114353456091311,0.000305950225970572,0.00243492337139329,0.000423541742531942,0.00467317434894011,0.000217145190238931,0.0012523538785962,0.000761674152657614,0.000841734762655737,0.000468091725448575,0.000423274457638165,0.000840817014321484,0.000334753285535374,0.000276810243226379,0.000343479791629323,0.000672484964729427,0.000225593006007334,0.000563651436419452,0.000337032387772461,0.000381426879924718,0.000873257396257097,0.000508090755748016,0.00090035215570324,0.000916180888224247,0.000894280288663264,0.000919659225094338,0.000762881597866295,0.000388287130354262,0.000909773474239177,0.000689463287336162,0.00061578795892372,0.000654826626861632,0.000602181662690278,0.000778949235896854,0.00048994300511025,0.000384299615902746,0.000795275450975149,0.0009245399464792,0.000429373359039896,0.00168764506743568,0.000705321280896049,0.00061925755223761,0.000637721328389479,0.000685840018587302,0.000641908385430199,0.000681490349938531,0.000623903245865838,0.00069991869391718,0.000626398372761101,0.000697921618468434,0.000672730139173496,0.000651102170520334
Alanine-Sarcosine,0.00149654018932031,0.0235859659246446,0.0109773041590195,0.0163231424237609,0.0153987858922281,0.0137404907249873,0.0129742488421662,0.0202747679550528,0.016471551140986,0.0137790782788296,0.0126038282889099,0.0135287065527219,0.0171001333391107,0.0133433004161429,0.0163152059199857,0.00709378572601038,0.0266193433551885,0.0179146692708798,0.0167525002427883,0.0139734849760393,0.0187788914477637,0.0224105812105132,0.0113904840578164,0.0137510766460395,0.0141863050244033,0.00667643217443963,0.00427782547516275,0.0259149468169915,0.0260997042594165,0.0147671013860816,0.0144343970874023,0.0114444440058443,0.012492471561234,0.00616035323533762,0.0134058162644714,0.00663571945154387,0.0160204558732844,0.00973408633159421,0.00731217533212946,0.00703926612251764,0.0181411948753539,0.0167261126132849,0.0175392850556655,0.00685916749835516,0.0132531440422942,0.00658932869724951,0.0257885017013937,0.0205658651164146,0.0219139654317391,0.00617888471592269,0.021780800965541,0.0119075491023984,0.0213556279475715,0.0130555458040749,0.0183948177972253,0.0147584917368787,0.0236566311494818,0.0219828601074353,0.00790248958404649,0.0103983611536488,0.0127218435768566,0.0131353514516596,0.0132197747608158,0.0126444147622441,0.0128518798808842,0.0130069981867242,0.0129360909498682,0.012924583300658,0.0124247504585936,0.013442524590784,0.0130948932964178,0.0127654185118583
Betaine aldehyde,1.24873472638309e-05,5.08010988004521e-05,3.41262316178545e-06,0.000176029109782025,8.24360697326517e-05,4.27743522178856e-06,0.000171378902743356,0.000121060753333963,0.000168256137254685,0.000202352318494592,5.80509608984665e-05,2.85634374901471e-05,0.000137736086096768,7.55833762298149e-06,5.10124350019965e-06,0.000175365050645672,0.000224874375865092,0.000125641721455331,8.10498961381342e-05,9.52833688089789e-06,0.000247334913116897,2.50418208749437e-05,1.17081516136687e-05,0.00013532370949195,0.000207146362554499,8.94096951329327e-05,0.000112433319641427,0.000462765029824405,3.84926532334131e-06,1.13625833585075e-05,0.000249744078893559,0.000166776783045874,4.24551004615385e-05,6.44243458701534e-05,0.000111685818950953,0.000137726748911387,4.78023303789932e-06,9.63650750203302e-05,0.000114723002704669,0.000173920075450082,7.79550024091874e-05,6.78156905726482e-05,0.000123485004975524,0.000194429532747935,8.88184960415985e-05,0.000251096848037666,0.000120803645712126,7.27190111814351e-05,8.99193862774552e-06,1.56288406300719e-05,0.000209825956708229,3.52012819093002e-05,0.000120893762483631,5.03517889659294e-05,1.66513071836579e-05,4.51986570526307e-05,0.000288082063305469,0.000102556041861597,2.05894900674135e-05,0.000125425048165368,9.1051884862195e-05,5.65088264685807e-05,7.15991902067993e-05,7.56465422807816e-05,7.99491174038648e-05,6.74655201238336e-05,6.17358839322845e-05,8.55240272516416e-05,6.45977340646948e-05,8.27908459244632e-05,9.11021067465825e-05,5.61304624428476e-05
Dimethylglycine,0.00343781695898291,0.0309621319157051,0.0124140206922712,0.045007954193886,0.0503883308495251,0.0325097564768918,0.0504552503940955,0.0325999341729669,0.0651408483808067,0.0248263880941602,0.0612179010603463,0.0756833106769933,0.029386571279582,0.0170897082173757,0.0575501016270755,0.0226896083249802,0.038498544472768,0.0206259776697716,0.0314378380367153,0.0183125034459623,0.0410592510985308,0.0432976254037498,0.0291455043990359,0.0595001588049593,0.0481181724990618,0.00829391562504774,0.0132200588414619,0.0334248373770205,0.0335444138553863,0.0139625837467358,0.0191081464126614,0.0350137851142667,0.0155359407807436,0.0292118222077807,0.0204489887904945,0.0354254056190245,0.0318424423700216,0.0258030853622917,0.0220168062895925,0.0117907752740944,0.0395128598840439,0.0118960775852402,0.0217249678805505,0.0293215809321046,0.0368999260882642,0.0305621644771263,0.069412288903239,0.0366702084484583,0.0353366679385066,0.00801306463054449,0.0219808929604473,0.0105581512741596,0.0304218890499647,0.0171497091505221,0.0144359042198381,0.0166424073570028,0.0394405810792016,0.0213118608875668,0.0129513549693889,0.0562604902332792,0.0269034778223136,0.0250340369154988,0.0253459590504983,0.0265683700776401,0.0261504638319259,0.0257756722347205,0.0250545160436327,0.0268664862171102,0.0254914586978783,0.0264364836016974,0.0256948642917437,0.0262275219482326
Uracil,0.000900398025298486,0.0356895032106932,0.041986268304516,0.225575957095001,0.136843746677544,0.109817996906644,0.140196214103557,0.184269952702329,0.128241393564024,0.0615395598580326,0.0530822468914858,0.0864981769561625,0.144825225667193,0.0863802902902327,0.0692215114836004,0.0269879456831601,0.163733437251318,0.160619096606018,0.0766250340853074,0.0847045843415546,0.277477897832059,0.0698005234061828,0.0513041454986359,0.137779222788363,0.0802337659678563,0.0367278271554753,0.0165594879025367,0.174931723751092,0.069725746073722,0.0391750829927127,0.10850135394945,0.121580655925943,0.0430122540151237,0.0416404015438011,0.164890524717255,0.0056472136486489,0.0340426919534109,0.0543453978103235,0.0177635024069687,0.0164327119290265,0.176692367850152,0.105602851276612,0.178273061408792,0.0212228859229633,0.0744065866537468,0.0197247443626134,0.149827016192692,0.0635681600665868,0.0792805207574419,0.0645240158564819,0.15762141864736,0.0375019264681312,0.199575517846537,0.0864490560633201,0.0308475791436186,0.0456870148080469,0.17263292770261,0.138741178830129,0.0307096056021919,0.0500230115941851,0.0896133386757435,0.0913963650723928,0.0934372525122242,0.0876230063979774,0.0927343700914435,0.0883410410691513,0.0904971169454302,0.0905275534192011,0.091482977450682,0.089529024215644,0.0913321975204079,0.0896907061602779
Guanidoacetic Acid,0.000112603584709494,0.000950648139276258,0.000382887337201348,0.00239685352957114,0.0010757755038069,0.000327549057318548,0.0015496086528538,0.00120786685676267,0.00338244920884743,0.00147679253486598,0.000772030902915212,0.000621209955393638,0.00172061300825436,0.000887551779672303,0.00161640369542516,0.000986648668331223,0.00225502864473217,0.0015346832425389,0.0019353174884034,0.00111428863515936,0.00136985777487902,0.000841330999841189,0.000474274999435172,0.000474389230705447,0.00112102075868527,0.00079042233495443,0.000678624069058562,0.00219383110445506,0.000692948892200081,0.0120275185715253,0.00103968687031354,0.00108580624727533,0.0014671131178259,0.000451513549058113,0.00136082379144666,0.000995138090015038,0.00068408488231381,0.00106033643155249,0.000950305742190474,0.000950180184893815,0.000882178034733865,0.000812560724713165,0.00106194182982608,0.000905885681170608,0.00104313649423501,0.00105160026109924,0.00138705585861149,0.00173570391779672,0.000304514424013254,0.000720014362669712,0.00164574182934711,0.000915797768899481,0.00235500762153465,0.00119958447688534,0.00605038071842407,0.00107822110887219,0.00167693708333736,0.00226568328580555,0.000835965196304215,0.000676189937232374,0.00136449037743523,0.00142902230791741,0.00140562789038882,0.00138853156772452,0.00137361389530132,0.00141990644385788,0.00140313033923483,0.00139092994246061,0.001399682435933,0.00139433772661839,0.00140744143540768,0.00138659080438143
Thymine,4.61155519373283e-05,0.000127961546096947,0.000403636680964336,0.000462673122418367,0.000901490895591171,0.00474019375826956,0.000377583562272246,0.00091823765254279,0.000725026109175493,0.000332412985352327,0.000379347712894427,0.00189126678016089,0.000424956439090762,0.00146227899831762,0.0010535381369369,0.000285326920085016,0.00115392770187784,0.000457164675769027,0.000382062779733173,0.00223635062433457,0.000805669941592756,0.00118255358898951,0.000632918565041322,0.000541251838955619,0.000358925436466343,0.00016200733838777,4.16657245803733e-05,0.000878927870624049,0.00149226284352436,0.000861417095078695,0.00103435684617555,0.000451856883044814,0.00021626958947213,0.000170376231352959,0.00219877273419399,0.000172377480094234,0.000254029667131222,0.000249206732140492,0.000189624372387296,0.000156075820232643,0.000597362511143498,0.000989634490083056,0.00074899108197117,0.000185721641833812,0.000834069383976818,0.000215771347301227,0.000810875510334767,0.000415510103877614,0.000538214237550629,0.00161204083972771,0.000817752309519135,0.000261692156482545,0.00159252407375952,0.000327522884851414,0.000142319234217918,0.000874949052570296,0.000853033705639705,0.00115259178775198,0.0132331088778597,0.000224404891862712,0.000440003420378541,0.000427138724733227,0.000437887509907502,0.000429199709113151,0.000447113780998252,0.000420230684616625,0.000421445732237143,0.000445577591322181,0.000411401452003584,0.000455921570208444,0.000447162356424143,0.000419842076135436
N-Acetylputrescine,0.000214768462168925,0.00921398968714135,0.00170992905205868,0.00194375040807373,0.00112671198909035,0.00816868309758034,0.00205783052904705,0.0025056563091941,0.000825864801566175,0.00256395050849387,0.000859311039817384,0.0115113379907574,0.00383422157374692,0.00680229403304591,0.00289250511426559,0.00183007868117741,0.00196207397244675,0.00168744022495029,0.00314621250445248,0.0164151817597938,0.00123568604013456,0.00112707740922329,0.0139969076687196,0.00151055590239408,0.00136328595051234,0.000800137351952667,0.000842924168344268,0.000888958650792307,0.00204308746588405,0.00695766980580966,0.00138099237701397,0.00114125315028233,0.0013787423898723,0.00138871261102801,0.00615072375388145,0.00132804890103344,0.00100273985091844,0.00107284272625291,0.00132737044099482,0.00152015754012272,0.00242048646294281,0.00146235201332261,0.00089896218879032,0.00169465616061941,0.00145964360882496,0.00113302811595695,0.00169091220916396,0.00156467966420262,0.0144056630784299,0.00674658212953412,0.00117806427128168,0.00249521717528844,0.00160673696966361,0.00108445291520829,0.00198926438390044,0.00265301265227683,0.00106978159535589,0.0019792531670156,0.0020267493290161,0.000899672122861719,0.00305885387179681,0.00306297340577969,0.00301470916525336,0.00310659053807171,0.00310238953131276,0.00302041882543501,0.00301775117041336,0.00310407230584165,0.00314042466848561,0.0029803985611556,0.00301572976836425,0.00310623026909314
